PoNumber,Item No,Quantity,Vendor Challan No,Challan Date,Assesable Value,BED Value,SED Value,AED Value,ECS value,S&H E cess Value,S&H E cess Rate %,ECS Rate %,BED %,AED %,SED %,Sales Tax,Invoice amount,VAT amount,Currency,Form 31-Series No,Form 31 No,Invoice Number,Invoice Date,Vehicle Number,Packages,PackUnit,
2540131762,10,60,P00236,06.04.2017,13551.6,1694,0,0,0,0,0,0,12.5,0,0,0,17303.76,2058.16,INR,,,,,,,,
2540131777,10,80,P00237,06.04.2017,15501.6,1938,0,0,0,0,0,0,12.5,0,0,0,19793.95,2354.35,INR,,,,,MH14CP 2472,,,
2510172358,10,120,P00238,06.04.2017,24409.2,3051,0,0,0,0,0,0,12.5,0,0,0,31167.33,3707.13,INR,,,,,MH14CP 2472,,,
2540131761,10,40,P00239,06.04.2017,29282.8,3660,0,0,0,0,0,0,12.5,0,0,0,37390.08,4447.28,INR,,,,,MH14CP 2472,,,
2540131761,10,10,P00240,06.04.2017,7320.7,915,0,0,0,0,0,0,12.5,0,0,0,9347.52,1111.82,INR,,,,,MH14CP 2472,,,
2510172347,10,40,P00245,06.04.2017,4606.8,576,0,0,0,0,0,0,12.5,0,0,0,5882.48,699.68,INR,,,,,MH14 CP2472,,,
2540131796,10,161,P00248,07.04.2017,20158.81,2520,0,0,0,0,0,0,12.5,0,0,0,25740.45,3061.64,INR,,,,,,,,
2540132379,10,20,P00249,07.04.2017,49869,6234,0,0,0,0,0,0,12.5,0,0,0,63676.9,7573.9,INR,,,,,MH14CP 2472,,,
2540131761,10,30,P00250,07.04.2017,21962.1,2745,0,0,0,0,0,0,12.5,0,0,0,28042.56,3335.46,INR,,,,,MH14 CP2472,,,
2510172330,10,20,P00251,07.04.2017,7599.8,950,0,0,0,0,0,0,12.5,0,0,0,9704.02,1154.22,INR,,,,,MH14 CP2472,,,
2540131763,10,20,P00252,07.04.2017,7998.4,1000,0,0,0,0,0,0,12.5,0,0,0,10213.18,1214.78,INR,,,,,MH14 CP2472,,,
2510172327,10,48,P00253,07.04.2017,14930.4,1866,0,0,0,0,0,0,12.5,0,0,0,19063.91,2267.51,INR,,,,,MH14 CP2472,,,
2540131774,10,100,P00254,07.04.2017,29952,3744,0,0,0,0,0,0,12.5,0,0,0,38244.96,4548.96,INR,,,,,MH14 CP2472,,,
2510172351,10,24,P00255,07.04.2017,20182.56,2523,0,0,0,0,0,0,12.5,0,0,0,25770.81,3065.25,INR,,,,,MH14 CP2472,,,
2510172365,10,75,P00256,07.04.2017,23605.5,2951,0,0,0,0,0,0,12.5,0,0,0,30141.63,3585.13,INR,,,,,MH14 CP2472,,,
2540140488,10,70,P00257,07.04.2017,18354.7,2294,0,0,0,0,0,0,12.5,0,0,0,23436.27,2787.57,INR,,,,,MH14 CP2472,,,
2540131759,10,36,P00258,07.04.2017,13293.36,1662,0,0,0,0,0,0,12.5,0,0,0,16974.33,2018.97,INR,,,,,MH14 CP2472,,,
